model,dataset,condition,risk_acknowledgment,policy_awareness,intent_assessment,refusal_initiation,refusal_maintenance,refusal_suppression,benign_motive_invention,educational_framing,legal_disclaimer_laundering,task_decomposition,procedural_planning,operational_detail,n_rows
olmo3_7b_think,bt,baseline,0.8958,0.6747,0.8158,0.3088,0.1029,0.0000,0.1576,0.0633,0.0081,0.0795,0.0672,0.0446,4061
olmo3_7b_think,bt,defend_prompt,0.8944,0.7296,0.7351,0.4015,0.0976,0.0000,0.1265,0.0276,0.0071,0.0310,0.0178,0.0012,3258
olmo3_7b_think,bt,heads_amplify_top3,0.8969,0.6342,0.8071,0.2979,0.0984,0.0000,0.1509,0.0546,0.0000,0.1076,0.0951,0.0780,4267
olmo3_7b_think,bt,heads_amplify_top5,0.8779,0.5945,0.7986,0.2583,0.0918,0.0000,0.1356,0.0663,0.0013,0.0907,0.0894,0.0709,4498
olmo3_7b_think,bt,heads_amplify_top8,0.9075,0.6109,0.8575,0.3072,0.1241,0.0000,0.1879,0.1055,0.0000,0.0796,0.0728,0.0564,4626
olmo3_7b_think,bt,neurons_amplify_top1024,0.8439,0.6017,0.7637,0.2872,0.0733,0.0000,0.1637,0.0479,0.0025,0.0690,0.0626,0.0451,3927
olmo3_7b_think,bt,neurons_amplify_top256,0.9036,0.6861,0.8257,0.3025,0.1038,0.0000,0.1688,0.0530,0.0002,0.0582,0.0575,0.0463,4189
olmo3_7b_think,bt,neurons_amplify_top512,0.8641,0.6610,0.8105,0.2948,0.0994,0.0000,0.1701,0.0698,0.0000,0.0400,0.0392,0.0199,4026
olmo3_7b_think,bt,neurons_top1024,0.8790,0.6672,0.7747,0.3206,0.1186,0.0000,0.1475,0.0654,0.0018,0.0656,0.0529,0.0233,4420
olmo3_7b_think,bt,neurons_top256,0.8756,0.6227,0.7672,0.2827,0.1027,0.0000,0.1411,0.0369,0.0000,0.0422,0.0296,0.0217,4196
olmo3_7b_think,bt,neurons_top512,0.8605,0.6579,0.7518,0.3188,0.1198,0.0000,0.1635,0.0820,0.0002,0.0827,0.0619,0.0267,4122
