model,dataset,condition,family,P,Q,S,covert,raw_hac,clean_rate,gap,sfs,sfs_product,sfs_covert,sr_rate
qwen3_8b,jbb,ships_top3,SHIPS (heads),0.0,1.0,0.95,0.0,0.0208,0.96,-0.09,0.0,0.0,0.0,0.98
qwen3_8b,jbb,ships_top5,SHIPS (heads),0.0091,1.0,0.99,0.0,0.102,0.98,-0.05,0.2084,0.0091,0.0001,0.97
qwen3_8b,jbb,ships_top8,SHIPS (heads),0.04,1.0,0.98,0.0,0.13,1.0,-0.06,0.3397,0.0392,0.0008,0.96
qwen3_8b,jbb,neurons_top256,Neuron,0.0,1.0,1.0,0.0,0.0625,0.96,-0.04,0.0,0.0,0.0,0.96
qwen3_8b,jbb,neurons_top512,Neuron,0.0,1.0,0.97,0.0,0.0825,0.97,-0.07,0.0,0.0,0.0,0.97
qwen3_8b,jbb,neurons_top1024,Neuron,0.0,1.0,0.96,0.0,0.07,1.0,-0.08,0.0,0.0,0.0,0.96
qwen3_8b,jbb,steering_a0.5,Steering,0.0542,1.0,0.98,0.0,0.1429,0.98,-0.06,0.3759,0.0531,0.0011,0.96
qwen3_8b,jbb,steering_a1.0,Steering,0.1431,0.9792,0.96,0.0,0.2234,0.94,-0.08,0.5123,0.1345,0.0056,0.93
qwen3_8b,jbb,steering_a1.5,Steering,0.245,0.9896,0.85,0.0,0.3158,0.95,-0.19,0.5907,0.2061,0.0364,0.95
qwen3_8b,jbb,steering_ablate,Directional ablation,0.1985,0.9896,0.86,0.0,0.2737,0.95,-0.18,0.5528,0.169,0.0275,0.95
qwen3_8b,bt,ships_top3,SHIPS (heads),0.0097,1.0,1.0,0.0,0.0729,0.9796,-0.0306,0.2133,0.0097,0.0,0.8776
qwen3_8b,bt,ships_top5,SHIPS (heads),0.0,1.0,1.0,0.0,0.0521,0.9796,-0.0714,0.0,0.0,0.0,0.8878
qwen3_8b,bt,ships_top8,SHIPS (heads),0.0,1.0,1.0,0.0,0.0619,0.9898,-0.0714,0.0,0.0,0.0,0.8571
qwen3_8b,bt,neurons_top256,Neuron,0.0089,1.0,1.0,0.0,0.0722,0.9898,-0.051,0.2073,0.0089,0.0,0.8673
qwen3_8b,bt,neurons_top512,Neuron,0.0105,1.0,1.0,0.0,0.0737,0.9694,-0.0714,0.2192,0.0105,0.0,0.9082
